SYMBOL,Conservative_Log2fc,Combined_pvalue,Adj.p.value_101,Adj.p.value_104,Log2fc_101,Log2fc_104
Gm12185,1.60087567052173,1.9869586612038227e-25,1.26906260308957e-06,2.5250930399220003e-21,1.60087567052173,3.31058632406867
Mettl21e,1.37119798544995,5.408258700603312e-34,1.96983356851665e-08,3.34794433605641e-28,1.37119798544995,4.07963622929108
Rsad2,1.26159910294649,1.8822119594445895e-05,0.0141862495646508,9.11337848227663e-05,1.31007475111329,1.26159910294649
Kcng4,1.24132228184093,6.557608280560008e-12,7.56166677920966e-07,2.87569350047232e-07,1.24132228184093,1.43066204007803
Mt2,1.22389681893781,1.2216181444371527e-09,0.00060129524399,8.21491998525634e-08,1.3782653380826,1.22389681893781
Pnmt,1.13773636139112,6.046487157353897e-05,0.0034444209398564,0.0013197524602274,1.32177783103706,1.13773636139112
Npas2,1.07715521856001,1.955093188353269e-09,6.36874942627536e-06,1.26638318309464e-05,1.83851919328042,1.07715521856001
Lrrc30,0.843829987758699,6.0508885237359556e-15,2.09522212912198e-08,7.730224439837891e-09,0.843829987758699,0.91371067031557
Nrep,0.828517096422241,1.3858989293887413e-22,0.0071545422960933,3.50008369393647e-22,0.828517096422241,1.5561086679249
Mt1,0.821341438175691,3.7150306917887046e-10,0.0003241905102613,4.41248352431834e-08,1.13837228774919,0.821341438175691
Cntfr,0.816377344297674,1.4419229414631626e-68,0.0051065421095214,1.7397971682856401e-68,0.816377344297674,2.52196937652101
Adamts15,0.791585488022542,1.9559692579055806e-12,0.0022085430644856,2.8198585670391398e-11,0.791585488022542,0.932284123437586
Ccdc69,0.771217812395428,1.5155143013433987e-08,0.0037736634504654,1.81716446939189e-07,0.771217812395428,1.07963525172937
Enho,0.767143408479051,2.1754233976777603e-29,2.0929936908454803e-09,1.4584946557389399e-22,0.767143408479051,0.884037972781802
Syt12,0.725269667198254,0.0046676563660527125,0.0204920496229125,0.0267719445849342,0.846548984190597,0.725269667198254
Smad3,0.701245178174418,4.403534062165894e-46,0.0097491835116699,4.10104910927009e-46,0.701245178174418,1.32751995328771
Relt,0.689331351552388,4.288560995935285e-07,0.0008384256316184,2.75230682697164e-05,0.721211680086315,0.689331351552388
Cited4,0.671296925512795,4.612715630321846e-17,0.0017704951290193,6.15023886006097e-16,0.671296925512795,1.00900384054537
Mdga1,0.650641629612545,4.3071836221733065e-06,0.0060202095126711,4.43381825683516e-05,0.650641629612545,1.47786409422078
Tmem178b,0.631076679559234,3.2237778312278284e-16,0.0248879478575622,3.2087025674384e-16,0.631076679559234,1.19138047316963
Sh2d4a,0.617095135873371,1.5479847302803154e-22,0.0012180557815102,2.3009810633401702e-21,0.617095135873371,1.48229791988069
Slc16a9,0.566830533394824,1.149708685674358e-12,0.0003142426547279,1.14491185905273e-10,0.566830533394824,1.00908558871775
Mpp3,0.564635727133509,3.566842953920769e-28,0.0044465045763617,1.17230647377102e-27,0.564635727133509,1.52423507462341
Dyrk2,0.5487977363384,5.350385759149077e-09,7.56166677920966e-07,0.0003051197832464,0.576274761318537,0.5487977363384
Auts2,0.531818130034884,2.115805177511269e-13,0.0030960957224643,2.02772583651409e-12,0.531818130034884,0.63842066143754
Hdac9,0.529015065537481,1.5618192234541771e-06,0.0179407579023508,5.05674620741079e-06,0.529015065537481,0.550044248340149
Cdc42ep2,0.525407559648758,6.4666950514219546e-09,0.0103304448520821,2.72264866778078e-08,0.525407559648758,0.563026707192445
Acsl3,0.524466867010076,4.032169984057528e-06,0.0363368491082834,6.84697836713453e-06,0.524466867010076,0.564756272535511
Gramd1b,0.514091214945493,2.4682797087282725e-09,0.0060202095126711,1.70849260072827e-08,0.514091214945493,0.540743159723336
Adamts3,0.508770586449612,0.004241157301006986,0.0116769424271879,0.0421520554874736,0.725705315662741,0.508770586449612
Rnf122,0.505015828684043,3.5975396498872756e-27,0.0029200841426903,1.86439285482905e-26,0.505015828684043,0.918863780978041
Aldh1l2,0.501300754506074,3.65656532622614e-15,0.0030420498812607,3.17348308162771e-14,0.501300754506074,1.43973434594604
Sec14l5,0.477614563859446,8.479817421520669e-15,7.3082675304578e-06,3.13491330822386e-11,0.477614563859446,0.794608672965954
Bmal1,0.47501047504528,6.557461548644472e-09,8.00761067818808e-08,0.0035639893366303,0.830453279953088,0.47501047504528
Mras,0.469809856174183,0.000317961809167851,0.0069400379830709,0.0039855090601145,0.708185854013957,0.469809856174183
P2ry1,0.468187872526944,1.19187344767462e-06,0.0369221293838973,1.84436914428074e-06,0.655225659296678,0.468187872526944
Grip2,0.464289002888042,0.000750425000102149,0.043486390949931,0.0016355210759976,0.860564960064285,0.464289002888042
Adra1a,0.461305807628586,0.0022331575329805776,0.0172938640793835,0.0138277337425645,0.525981516805039,0.461305807628586
Lrp11,0.452758965899389,0.004110431471198981,0.0196400230975009,0.0241895560481011,0.846970086096768,0.452758965899389
Glt28d2,0.449934617567673,2.0621079301540186e-05,0.0265351622526604,5.3740603968171e-05,0.449934617567673,0.677555439331756
Myorg,0.446026699429392,6.087642048917197e-50,3.76383865081888e-06,1.35798656727956e-46,0.446026699429392,1.29268648802438
Bahcc1,0.441781131825025,1.708116976984792e-06,0.0024358306727211,4.09597110353463e-05,0.490726250576245,0.441781131825025
Stat5a,0.438595384121938,2.811518786453647e-28,0.0048813384988255,8.38779957386117e-28,0.438595384121938,0.917919330287048
Ddit4l,0.433442285502432,3.9832312112316276e-20,0.0102926697140832,7.80659748598802e-20,0.433442285502432,1.58705136697654
Ankrd9,0.432116934910144,3.287036143947636e-11,0.0359825133352005,3.2066538946221e-11,0.432116934910144,1.18088551135136
