Drug_Name,Reversal_Score,Cell_Line,Dose,Time,PubChem_ID,Perturbagen_ID
LDN-193189,0.2097,SKBR3,10 um,3 h,25195294,BRD-K04853698
F1566-0341,0.1935,MCF7,10.0 um,6.0 h,5056826,BRD-K69852452
Narciclasine,0.1774,HT29,10.0 um,6.0 h,72376,BRD-K06792661
withaferin-a,0.1774,SKBR3,3.33 um,24 h,265237,BRD-K88378636
DG-041,0.1613,A549,40.0 um,6.0 h,11296282,BRD-K33272502
S1130,0.1613,HT29,10.0 um,6.0 h,10126189,BRD-K24681473
-666,0.1613,A375,10.0 um,6.0 h,5756371,BRD-K98824517
-666,0.1613,PC3,10.0 um,6.0 h,5282060,BRD-K64517075
-666,0.1452,A549,10.0 um,6.0 h,659101,BRD-K92317137
YM-155,0.1452,A673,0.31 um,6.0 h,10126189,BRD-K76703230
Arachidonyl trifluoro-methyl ketone,0.1452,HA1E,80.0 um,6.0 h,5280436,BRD-K07303502
auranofin,0.1452,MCF7,10.0 um,6.0 h,0,BRD-A79465854
Emetine Dihydrochloride Hydrate (74),0.1452,MCF7,0.63 um,6.0 h,11957493,BRD-K01976263
IMD 0354,0.1452,PC3,10.0 um,24.0 h,5081913,BRD-K74305673
B4313,0.1452,MCF7,10.0 um,6.0 h,5475586,BRD-A11007541
V4877,0.1452,SKB,10.0 um,24.0 h,104830,BRD-A26002865
-666,0.1452,SKB,10.0 um,24.0 h,,BRD-U33728988
-666,0.1452,A549,10.0 um,6.0 h,253602,BRD-K91370081
-666,0.1452,A549,10.0 um,6.0 h,4477,BRD-K35960502
chelerythrine chloride,0.1452,PC3,10 um,24 h,,BRD-K87904882
radicicol,0.1452,HA1E,10 um,24 h,5311380,BRD-A39996500
QL-XII-47,0.1452,HME1,1.11 um,3 h,71748056,BRD-K99252563
Homoharringtonine,0.129,PC3,10.0 um,24.0 h,285033,BRD-K76674262
NSC 3852,0.129,VCAP,10.0 um,24.0 h,19103,BRD-K13169950
BRAZILIN,0.129,A375,10.0 um,6.0 h,222515,BRD-A83326220
NSC 663284,0.129,A375,10.0 um,6.0 h,379077,BRD-K03109492
cercosporin,0.129,A375,10.0 um,6.0 h,2674,BRD-A78360835
Ro 28-1675 ?,0.129,A549,160.0 um,6.0 h,9886086,BRD-K21672174
Importazole,0.129,HA1E,60.0 um,6.0 h,2949965,BRD-A02481876
-666,0.129,HT29,11.1 um,6.0 h,4259181,BRD-K17140735
-666,0.129,HT29,10.0 um,6.0 h,40911229,BRD-K56411643
curcumin,0.129,HT29,48.0 um,6.0 h,16760039,BRD-K74148702
Chemistry 2804,0.129,HT29,10.0 um,6.0 h,6477762,BRD-K74402642
MLN2238,0.129,NCIH508,10.0 um,6.0 h,25183872,BRD-K78659596
