Perturbagen,Reversal_Score,Cell_Line,Dose,Time,PubChem_ID,Perturbagen_ID
F1566-0341,0.1967,MCF7,10.0 um,6.0 h,5056826,BRD-K69852452
LDN-193189,0.1967,SKBR3,10 um,3 h,25195294,BRD-K04853698
Narciclasine,0.1803,HT29,10.0 um,6.0 h,72376,BRD-K06792661
S1130,0.1639,HT29,10.0 um,6.0 h,10126189,BRD-K24681473
-666,0.1639,PC3,10.0 um,6.0 h,5282060,BRD-K64517075
withaferin-a,0.1639,SKBR3,3.33 um,24 h,265237,BRD-K88378636
DG-041,0.1475,A549,40.0 um,6.0 h,11296282,BRD-K33272502
-666,0.1475,A549,10.0 um,6.0 h,659101,BRD-K92317137
YM-155,0.1475,A673,0.31 um,6.0 h,10126189,BRD-K76703230
auranofin,0.1475,MCF7,10.0 um,6.0 h,Unknown,BRD-A79465854
IMD 0354,0.1475,PC3,10.0 um,24.0 h,5081913,BRD-K74305673
V4877,0.1475,SKB,10.0 um,24.0 h,104830,BRD-A26002865
-666,0.1475,A549,10.0 um,6.0 h,4477,BRD-K35960502
-666,0.1475,A375,10.0 um,6.0 h,5756371,BRD-K98824517
chelerythrine chloride,0.1475,PC3,10 um,24 h,Unknown,BRD-K87904882
radicicol,0.1475,HA1E,10 um,24 h,5311380,BRD-A39996500
QL-XII-47,0.1475,HME1,1.11 um,3 h,71748056,BRD-K99252563
NSC 3852,0.1311,VCAP,10.0 um,24.0 h,19103,BRD-K13169950
NSC 663284,0.1311,A375,10.0 um,6.0 h,379077,BRD-K03109492
cercosporin,0.1311,A375,10.0 um,6.0 h,2674,BRD-A78360835
Ro 28-1675 ?,0.1311,A549,160.0 um,6.0 h,9886086,BRD-K21672174
Importazole,0.1311,HA1E,60.0 um,6.0 h,2949965,BRD-A02481876
Arachidonyl trifluoro-methyl ketone,0.1311,HA1E,80.0 um,6.0 h,5280436,BRD-K07303502
-666,0.1311,HT29,11.1 um,6.0 h,4259181,BRD-K17140735
-666,0.1311,HT29,10.0 um,6.0 h,40911229,BRD-K56411643
Emetine Dihydrochloride Hydrate (74),0.1311,MCF7,0.63 um,6.0 h,11957493,BRD-K01976263
MLN2238,0.1311,NCIH508,10.0 um,6.0 h,25183872,BRD-K78659596
MW-ras12,0.1311,VCAP,10.0 um,6.0 h,3689413,BRD-A36275421
-666,0.1311,A549,10.0 um,24.0 h,665013,BRD-K05153001
"""""""N-{3-[(2-Chloro-acetyl)-(4-nitro-phenyl)-amino]-propyl}-2,2,2-trifluoro-acetamide""""""",0.1311,HA1E,10.0 um,6.0 h,4257368,BRD-K58214070
"2-Dichloromethyl-4-ethylsulfanyl-6-phenyl-[1,3,5]triazine MLS-0208612.0001",0.1311,A375,10.0 um,6.0 h,781660,BRD-K53932786
ST056792,0.1311,A375,10.0 um,6.0 h,755405,BRD-K42308740
