PC1,PC2,Sample,Condition
-32.385841699909676,9.34587928309236,Mmus_C57-6J_SLS_GC_Rep1_M33,Ground Control (GC)
-44.943925229137506,14.263176555617148,Mmus_C57-6J_SLS_GC_Rep2_M34,Ground Control (GC)
-35.45973063577338,1.755126175345403,Mmus_C57-6J_SLS_GC_Rep3_M35,Ground Control (GC)
-21.38180045998284,0.5910822978934365,Mmus_C57-6J_SLS_GC_Rep4_M36,Ground Control (GC)
-30.17893249777018,-6.3554301207288,Mmus_C57-6J_SLS_GC_Rep5_M37,Ground Control (GC)
-34.37539256049231,5.190021451503615,Mmus_C57-6J_SLS_GC_Rep6_M38,Ground Control (GC)
37.862952597004316,-6.7217569250736275,Mmus_C57-6J_SLS_FLT_Rep1_M23,Spaceflight (FLT)
48.7320425505751,44.50406084183101,Mmus_C57-6J_SLS_FLT_Rep2_M24,Spaceflight (FLT)
23.289092795783546,-37.66425150692,Mmus_C57-6J_SLS_FLT_Rep3_M25,Spaceflight (FLT)
44.60552042219835,32.79506180070883,Mmus_C57-6J_SLS_FLT_Rep4_M26,Spaceflight (FLT)
28.264662724382447,-46.62270418617133,Mmus_C57-6J_SLS_FLT_Rep5_M27,Spaceflight (FLT)
15.971351993122228,-11.080265667098052,Mmus_C57-6J_SLS_FLT_Rep6_M28,Spaceflight (FLT)
