Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of DNA-templated Transcription (GO:0045892)	21/1025	8.221601e-06	8.377811e-03	0	0	3.342537e+00	3.913691e+01	KANK2;PLK3;TLE1;SMAD3;PDE2A;ARID5A;NR1D2;CXXC5;KLF4;HDAC9;KLF2;CIART;PER2;PER3;NACC2;BCL6B;ID1;TAF7;CLOCK;BMAL1;SOX4
GO_Biological_Process_2023	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	17/763	2.269258e-05	1.156187e-02	0	0	3.570463e+00	3.818065e+01	KANK2;PLK3;SMAD3;PDE2A;ARID5A;NR1D2;CXXC5;KLF4;HDAC9;KLF2;PER2;PER3;NACC2;BCL6B;ID1;TAF7;SOX4
GO_Biological_Process_2023	Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	9/231	3.493428e-05	1.186601e-02	0	0	6.124428e+00	6.284914e+01	TLE1;PIK3IP1;PDE2A;PLAUR;CCDC22;HDAC9;STYXL2;BMAL1;EPHA2
GO_Biological_Process_2023	Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000134)	4/32	6.906756e-05	1.516287e-02	0	0	2.098730e+01	2.010673e+02	KANK2;PLK3;NACC2;KLF4
GO_Biological_Process_2023	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	12/456	8.338694e-05	1.516287e-02	0	0	4.132156e+00	3.880928e+01	PER2;TLE1;NACC2;ID1;ARID5A;TAF7;NR1D2;KLF4;CLOCK;HDAC9;BMAL1;CIART
GO_Biological_Process_2023	Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102)	3/13	8.928090e-05	1.516287e-02	0	0	4.378897e+01	4.082762e+02	PPP1R15A;PPP1R15B;DNAJB9
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	28/2028	3.027863e-04	4.407704e-02	0	0	2.252739e+00	1.825278e+01	KANK2;CAMK2D;CXXC5;HDAC9;NPAS2;DBP;NACC2;ZBTB7B;SOX4;STAT5A;NCOA1;PLK3;SMAD3;KLF13;AUTS2;PDE2A;ARID5A;MRTFA;NR1D2;KLF4;KLF2;PER2;PER3;BCL6B;ID1;TAF7;CLOCK;BMAL1
GO_Biological_Process_2023	Regulation Of Cell Development (GO:0060284)	4/52	4.669668e-04	5.355674e-02	0	0	1.223025e+01	9.379685e+01	PER2;CLOCK;HDAC9;BMAL1
GO_Biological_Process_2023	Negative Regulation Of PERK-mediated Unfolded Protein Response (GO:1903898)	2/5	4.730232e-04	5.355674e-02	0	0	9.663260e+01	7.398546e+02	PPP1R15A;PPP1R15B
GO_Biological_Process_2023	Photoperiodism (GO:0009648)	3/24	5.974364e-04	6.087877e-02	0	0	2.084034e+01	1.546950e+02	PER2;PER3;CLOCK
GO_Biological_Process_2023	Cellular Response To Laminar Fluid Shear Stress (GO:0071499)	2/6	7.063015e-04	6.542920e-02	0	0	7.247080e+01	5.258096e+02	KLF4;KLF2
GO_Biological_Process_2023	Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)	3/27	8.503357e-04	7.164428e-02	0	0	1.823254e+01	1.289018e+02	SMAD3;KLF4;KLF2
GO_Biological_Process_2023	Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)	3/28	9.475546e-04	7.164428e-02	0	0	1.750235e+01	1.218448e+02	SMAD3;KLF4;KLF2
GO_Biological_Process_2023	Mitral Valve Development (GO:0003174)	2/7	9.843178e-04	7.164428e-02	0	0	5.797372e+01	4.013846e+02	GJA5;SOX4
GO_Biological_Process_2023	Regulation Of Type B Pancreatic Cell Development (GO:2000074)	2/8	1.306448e-03	8.875138e-02	0	0	4.830900e+01	3.207932e+02	BMAL1;CLOCK
GO_Biological_Process_2023	Response To Laminar Fluid Shear Stress (GO:0034616)	2/9	1.672075e-03	1.002261e-01	0	0	4.140563e+01	2.647348e+02	KLF4;KLF2
GO_Biological_Process_2023	Regulation Of PERK-mediated Unfolded Protein Response (GO:1903897)	2/9	1.672075e-03	1.002261e-01	0	0	4.140563e+01	2.647348e+02	PPP1R15A;PPP1R15B
GO_Biological_Process_2023	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	11/557	1.786705e-03	1.011474e-01	0	0	3.040078e+00	1.923574e+01	NCOA1;SMAD3;FZD7;TAF7;NR1D2;KLF4;CLOCK;BMAL1;SOX4;NPAS2;KLF2
GO_Biological_Process_2023	Ventricular Septum Development (GO:0003281)	3/37	2.147210e-03	1.151583e-01	0	0	1.286354e+01	7.902825e+01	GJA5;PDE2A;SOX4
GO_Biological_Process_2023	Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	3/39	2.500105e-03	1.172488e-01	0	0	1.214767e+01	7.278183e+01	SMAD3;KLF4;KLF2
GO_Biological_Process_2023	Cellular Response To Fluid Shear Stress (GO:0071498)	2/11	2.531378e-03	1.172488e-01	0	0	3.220114e+01	1.925303e+02	KLF4;KLF2
GO_Biological_Process_2023	Intracellular Copper Ion Homeostasis (GO:0006878)	2/11	2.531378e-03	1.172488e-01	0	0	3.220114e+01	1.925303e+02	ANKRD9;CCDC22
GO_Biological_Process_2023	cAMP Metabolic Process (GO:0046058)	2/12	3.023850e-03	1.283876e-01	0	0	2.897956e+01	1.681169e+02	ADCY2;EPHA2
GO_Biological_Process_2023	Relaxation Of Cardiac Muscle (GO:0055119)	2/12	3.023850e-03	1.283876e-01	0	0	2.897956e+01	1.681169e+02	CAMK2D;KCNJ2
GO_Biological_Process_2023	Regulation Of Insulin Secretion (GO:0050796)	4/87	3.184145e-03	1.296676e-01	0	0	7.060419e+00	4.059439e+01	PER2;CLOCK;BMAL1;SOX4
GO_Biological_Process_2023	Positive Regulation Of miRNA Transcription (GO:1902895)	3/43	3.308496e-03	1.296676e-01	0	0	1.093070e+01	6.242808e+01	SMAD3;MRTFA;KLF4
GO_Biological_Process_2023	Relaxation Of Muscle (GO:0090075)	2/13	3.557411e-03	1.342593e-01	0	0	2.634373e+01	1.485450e+02	CAMK2D;KCNJ2
GO_Biological_Process_2023	Copper Ion Homeostasis (GO:0055070)	2/14	4.131473e-03	1.496943e-01	0	0	2.414720e+01	1.325469e+02	ANKRD9;CCDC22
GO_Biological_Process_2023	Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)	3/47	4.260191e-03	1.496943e-01	0	0	9.934993e+00	5.422958e+01	PLK3;DYRK2;SOX4
GO_Biological_Process_2023	Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	4/96	4.529823e-03	1.525951e-01	0	0	6.366828e+00	3.436223e+01	SMAD3;PDE2A;ID1;LRRC32
GO_Biological_Process_2023	Positive Regulation Of miRNA Metabolic Process (GO:2000630)	3/49	4.791994e-03	1.525951e-01	0	0	9.502078e+00	5.074878e+01	SMAD3;MRTFA;KLF4
GO_Biological_Process_2023	Regulation Of Cell Communication (GO:0010646)	3/49	4.791994e-03	1.525951e-01	0	0	9.502078e+00	5.074878e+01	CAMK2D;GJA5;LRRC32
GO_Biological_Process_2023	Regulation Of Fibrinolysis (GO:0051917)	2/16	5.398787e-03	1.559311e-01	0	0	2.069552e+01	1.080633e+02	SERPINE1;PLAUR
GO_Biological_Process_2023	Regulation Of Plasminogen Activation (GO:0010755)	2/16	5.398787e-03	1.559311e-01	0	0	2.069552e+01	1.080633e+02	SERPINE1;PLAUR
GO_Biological_Process_2023	Regulation Of Transforming Growth Factor Beta Production (GO:0071634)	2/16	5.398787e-03	1.559311e-01	0	0	2.069552e+01	1.080633e+02	SMAD3;LRRC32
