Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Circadian rhythm	4/30	5.320638e-05	7.076448e-03	0	0	2.260399e+01	2.224534e+02	PER2;PER3;CLOCK;NPAS2
KEGG_2019_Mouse	Apelin signaling pathway	6/138	4.100158e-04	2.726605e-02	0	0	6.742652e+00	5.258807e+01	GABARAPL1;SMAD3;MRAS;SERPINE1;ADCY2;KLF2
KEGG_2019_Mouse	Signaling pathways regulating pluripotency of stem cells	5/137	2.707347e-03	1.200257e-01	0	0	5.576945e+00	3.296971e+01	SMAD1;SMAD3;FZD7;ID1;KLF4
KEGG_2019_Mouse	Circadian entrainment	4/99	5.051904e-03	1.357687e-01	0	0	6.164834e+00	3.259958e+01	PER2;CAMK2D;PER3;ADCY2
KEGG_2019_Mouse	Hippo signaling pathway	5/159	5.104086e-03	1.357687e-01	0	0	4.774908e+00	2.520060e+01	SMAD1;SMAD3;FZD7;SERPINE1;ID1
KEGG_2019_Mouse	FoxO signaling pathway	4/132	1.361639e-02	2.573146e-01	0	0	4.567824e+00	1.962557e+01	PLK3;GABARAPL1;SMAD3;KLF2
KEGG_2019_Mouse	Gastric acid secretion	3/74	1.487185e-02	2.573146e-01	0	0	6.148509e+00	2.587468e+01	CAMK2D;ADCY2;KCNJ2
KEGG_2019_Mouse	Rap1 signaling pathway	5/209	1.547757e-02	2.573146e-01	0	0	3.595442e+00	1.498711e+01	MRAS;ID1;P2RY1;ADCY2;EPHA2
KEGG_2019_Mouse	TGF-beta signaling pathway	3/91	2.560669e-02	3.784099e-01	0	0	4.956467e+00	1.816497e+01	SMAD1;SMAD3;ID1
KEGG_2019_Mouse	Melanogenesis	3/100	3.259476e-02	3.798196e-01	0	0	4.494542e+00	1.538753e+01	CAMK2D;FZD7;ADCY2
KEGG_2019_Mouse	AGE-RAGE signaling pathway in diabetic complications	3/101	3.342660e-02	3.798196e-01	0	0	4.448454e+00	1.511764e+01	STAT5A;SMAD3;SERPINE1
KEGG_2019_Mouse	Aldosterone synthesis and secretion	3/102	3.426944e-02	3.798196e-01	0	0	4.403298e+00	1.485453e+01	CAMK2D;PDE2A;ADCY2
KEGG_2019_Mouse	Mineral absorption	2/44	3.751292e-02	3.837860e-01	0	0	6.888773e+00	2.261632e+01	MT2;MT1
KEGG_2019_Mouse	Cholinergic synapse	3/113	4.425927e-02	4.204630e-01	0	0	3.960762e+00	1.234843e+01	CAMK2D;ADCY2;KCNJ2
KEGG_2019_Mouse	Proteoglycans in cancer	4/203	5.339860e-02	4.734676e-01	0	0	2.927527e+00	8.577567e+00	CAMK2D;MRAS;FZD7;PLAUR
KEGG_2019_Mouse	Mitophagy	2/63	7.116805e-02	4.839693e-01	0	0	4.738543e+00	1.252260e+01	GABARAPL1;MRAS
KEGG_2019_Mouse	Ubiquinone and other terpenoid-quinone biosynthesis	1/11	7.386554e-02	4.839693e-01	0	0	1.438478e+01	3.747968e+01	NQO1
KEGG_2019_Mouse	Pathways in cancer	7/535	7.995732e-02	4.839693e-01	0	0	1.941733e+00	4.905326e+00	STAT5A;NCOA1;NQO1;CAMK2D;SMAD3;FZD7;ADCY2
KEGG_2019_Mouse	Amphetamine addiction	2/68	8.119791e-02	4.839693e-01	0	0	4.378456e+00	1.099372e+01	ARC;CAMK2D
KEGG_2019_Mouse	Acute myeloid leukemia	2/69	8.325383e-02	4.839693e-01	0	0	4.312888e+00	1.072124e+01	STAT5A;PER2
KEGG_2019_Mouse	Adrenergic signaling in cardiomyocytes	3/148	8.430639e-02	4.839693e-01	0	0	2.999391e+00	7.418388e+00	CAMK2D;ADCY2;ADRA1A
KEGG_2019_Mouse	Oxytocin signaling pathway	3/154	9.232512e-02	4.839693e-01	0	0	2.879334e+00	6.859837e+00	CAMK2D;ADCY2;KCNJ2
KEGG_2019_Mouse	Fatty acid biosynthesis	1/14	9.305295e-02	4.839693e-01	0	0	1.106355e+01	2.627135e+01	ACSL3
KEGG_2019_Mouse	Chronic myeloid leukemia	2/76	9.807285e-02	4.839693e-01	0	0	3.903531e+00	9.064174e+00	STAT5A;SMAD3
KEGG_2019_Mouse	Cushing syndrome	3/159	9.924005e-02	4.839693e-01	0	0	2.786340e+00	6.437042e+00	CAMK2D;FZD7;ADCY2
KEGG_2019_Mouse	Wnt signaling pathway	3/160	1.006476e-01	4.839693e-01	0	0	2.768453e+00	6.356726e+00	CAMK2D;SMAD3;FZD7
KEGG_2019_Mouse	Salivary secretion	2/78	1.024351e-01	4.839693e-01	0	0	3.800423e+00	8.659360e+00	ADCY2;ADRA1A
KEGG_2019_Mouse	ErbB signaling pathway	2/84	1.158292e-01	4.839693e-01	0	0	3.521275e+00	7.590597e+00	STAT5A;CAMK2D
KEGG_2019_Mouse	Hepatocellular carcinoma	3/171	1.166475e-01	4.839693e-01	0	0	2.585741e+00	5.555720e+00	NQO1;SMAD3;FZD7
KEGG_2019_Mouse	cGMP-PKG signaling pathway	3/172	1.181472e-01	4.839693e-01	0	0	2.570310e+00	5.489730e+00	PDE2A;ADCY2;ADRA1A
KEGG_2019_Mouse	Insulin secretion	2/86	1.203888e-01	4.839693e-01	0	0	3.437087e+00	7.276412e+00	CAMK2D;ADCY2
KEGG_2019_Mouse	One carbon pool by folate	1/19	1.241588e-01	4.839693e-01	0	0	7.988325e+00	1.666520e+01	ALDH1L2
KEGG_2019_Mouse	Complement and coagulation cascades	2/88	1.249924e-01	4.839693e-01	0	0	3.356815e+00	6.980505e+00	SERPINE1;PLAUR
KEGG_2019_Mouse	GABAergic synapse	2/90	1.296378e-01	4.839693e-01	0	0	3.280192e+00	6.701468e+00	GABARAPL1;ADCY2
KEGG_2019_Mouse	GnRH signaling pathway	2/90	1.296378e-01	4.839693e-01	0	0	3.280192e+00	6.701468e+00	CAMK2D;ADCY2
KEGG_2019_Mouse	Morphine addiction	2/92	1.343231e-01	4.839693e-01	0	0	3.206975e+00	6.438025e+00	PDE2A;ADCY2
KEGG_2019_Mouse	Transcriptional misregulation in cancer	3/183	1.351065e-01	4.839693e-01	0	0	2.411887e+00	4.827855e+00	PER2;SMAD1;AFF1
KEGG_2019_Mouse	Cellular senescence	3/185	1.382769e-01	4.839693e-01	0	0	2.385141e+00	4.718993e+00	SMAD3;MRAS;SERPINE1
KEGG_2019_Mouse	Calcium signaling pathway	3/189	1.446933e-01	4.932001e-01	0	0	2.333373e+00	4.510734e+00	CAMK2D;ADCY2;ADRA1A
KEGG_2019_Mouse	Vitamin digestion and absorption	1/24	1.542052e-01	4.932001e-01	0	0	6.250158e+00	1.168449e+01	SLC19A2
KEGG_2019_Mouse	Th17 cell differentiation	2/102	1.582795e-01	4.932001e-01	0	0	2.884818e+00	5.317852e+00	STAT5A;SMAD3
KEGG_2019_Mouse	Glucagon signaling pathway	2/102	1.582795e-01	4.932001e-01	0	0	2.884818e+00	5.317852e+00	CAMK2D;ADCY2
KEGG_2019_Mouse	Chagas disease (American trypanosomiasis)	2/103	1.607183e-01	4.932001e-01	0	0	2.856110e+00	5.221262e+00	SMAD3;SERPINE1
KEGG_2019_Mouse	HIF-1 signaling pathway	2/104	1.631640e-01	4.932001e-01	0	0	2.827966e+00	5.127102e+00	CAMK2D;SERPINE1
KEGG_2019_Mouse	C-type lectin receptor signaling pathway	2/112	1.829549e-01	5.407332e-01	0	0	2.621234e+00	4.452208e+00	PLK3;MRAS
KEGG_2019_Mouse	Oocyte meiosis	2/116	1.929798e-01	5.579635e-01	0	0	2.528749e+00	4.160221e+00	CAMK2D;ADCY2
KEGG_2019_Mouse	Platelet activation	2/125	2.157757e-01	5.593794e-01	0	0	2.342650e+00	3.592491e+00	P2RY1;ADCY2
KEGG_2019_Mouse	Thermogenesis	3/231	2.170820e-01	5.593794e-01	0	0	1.899478e+00	2.901414e+00	NDUFAF4;ADCY2;ACSL3
KEGG_2019_Mouse	Inflammatory mediator regulation of TRP channels	2/127	2.208770e-01	5.593794e-01	0	0	2.304934e+00	3.480795e+00	CAMK2D;ADCY2
KEGG_2019_Mouse	Alanine, aspartate and glutamate metabolism	1/37	2.276215e-01	5.593794e-01	0	0	3.990539e+00	5.906283e+00	GFPT2
KEGG_2019_Mouse	Autophagy	2/130	2.285474e-01	5.593794e-01	0	0	2.250570e+00	3.321867e+00	GABARAPL1;MRAS
KEGG_2019_Mouse	Relaxin signaling pathway	2/131	2.311086e-01	5.593794e-01	0	0	2.233011e+00	3.271065e+00	SMAD3;ADCY2
KEGG_2019_Mouse	Estrogen signaling pathway	2/134	2.388028e-01	5.593794e-01	0	0	2.181929e+00	3.124777e+00	NCOA1;ADCY2
KEGG_2019_Mouse	Dopaminergic synapse	2/135	2.413707e-01	5.593794e-01	0	0	2.165414e+00	3.077965e+00	CAMK2D;CLOCK
KEGG_2019_Mouse	Human T-cell leukemia virus 1 infection	3/245	2.427248e-01	5.593794e-01	0	0	1.788314e+00	2.531944e+00	STAT5A;SMAD3;ADCY2
KEGG_2019_Mouse	Tyrosine metabolism	1/40	2.436441e-01	5.593794e-01	0	0	3.683017e+00	5.200593e+00	PNMT
KEGG_2019_Mouse	Ferroptosis	1/40	2.436441e-01	5.593794e-01	0	0	3.683017e+00	5.200593e+00	ACSL3
KEGG_2019_Mouse	Purine metabolism	2/136	2.439399e-01	5.593794e-01	0	0	2.149145e+00	3.032085e+00	PDE2A;ADCY2
KEGG_2019_Mouse	Vascular smooth muscle contraction	2/140	2.542271e-01	5.711361e-01	0	0	2.086428e+00	2.857419e+00	ADCY2;ADRA1A
KEGG_2019_Mouse	Basal transcription factors	1/43	2.593367e-01	5.711361e-01	0	0	3.419427e+00	4.614955e+00	TAF7
KEGG_2019_Mouse	Fluid shear stress and atherosclerosis	2/143	2.619497e-01	5.711361e-01	0	0	2.041725e+00	2.735101e+00	NQO1;KLF2
KEGG_2019_Mouse	Breast cancer	2/147	2.722492e-01	5.818161e-01	0	0	1.984999e+00	2.582558e+00	NCOA1;FZD7
KEGG_2019_Mouse	Phospholipase D signaling pathway	2/149	2.773980e-01	5.818161e-01	0	0	1.957793e+00	2.510483e+00	MRAS;ADCY2
KEGG_2019_Mouse	Gastric cancer	2/150	2.799716e-01	5.818161e-01	0	0	1.944466e+00	2.475436e+00	SMAD3;FZD7
KEGG_2019_Mouse	Amino sugar and nucleotide sugar metabolism	1/49	2.897586e-01	5.850152e-01	0	0	2.991093e+00	3.705088e+00	GFPT2
