Mouse_Symbol,Human_GeneID,Direction,Human_Symbol,Mapping_Type
Cntfr,1271,upregulated,CNTFR,1:1
Npas2,4862,upregulated,NPAS2,1:1
Kcng4,93107,upregulated,KCNG4,1:1
Rsad2,91543,upregulated,RSAD2,1:1
Pnmt,5409,upregulated,PNMT,1:1
Nrep,9315,upregulated,NREP,1:1
Mdga1,266727,upregulated,MDGA1,1:1
Sh2d4a,63898,upregulated,SH2D4A,1:1
Mpp3,4356,upregulated,MPP3,1:1
Smad3,4088,upregulated,SMAD3,1:1
Ddit4l,115265,upregulated,DDIT4L,1:1
Aldh1l2,160428,upregulated,ALDH1L2,1:1
Tmem178b,100507421,upregulated,TMEM178B,1:1
Lrrc30,339291,upregulated,LRRC30,1:1
Myorg,57462,upregulated,MYORG,1:1
Adamts15,170689,upregulated,ADAMTS15,1:1
Sox4,6659,upregulated,SOX4,1:1
Cited4,163732,upregulated,CITED4,1:1
Enho,375704,upregulated,ENHO,1:1
Ankrd9,122416,upregulated,ANKRD9,1:1
Slc16a9,220963,upregulated,SLC16A9,1:1
Syt12,91683,upregulated,SYT12,1:1
Mrtfa,57591,upregulated,MRTFA,1:1
Rhbdl3,162494,upregulated,RHBDL3,1:1
Rnf122,79845,upregulated,RNF122,1:1
Relt,84957,upregulated,RELT,1:1
Stat5a,6776,upregulated,STAT5A,1:1
Grip2,80852,upregulated,GRIP2,1:1
Bmal1,406,upregulated,BMAL1,1:1
Lrp11,84918,upregulated,LRP11,1:1
Sec14l5,9717,upregulated,SEC14L5,1:1
Adamts3,9508,upregulated,ADAMTS3,1:1
Slc45a4,57210,upregulated,SLC45A4,1:1
Mras,22808,upregulated,MRAS,1:1
Auts2,26053,upregulated,AUTS2,1:1
Tle1,7088,upregulated,TLE1,1:1
Dyrk2,8445,upregulated,DYRK2,1:1
P2ry1,5028,upregulated,P2RY1,1:1
Acsl3,2181,upregulated,ACSL3,1:1
Cdc42ep2,10435,upregulated,CDC42EP2,1:1
Hdac9,9734,upregulated,HDAC9,1:1
Gramd1b,57476,upregulated,GRAMD1B,1:1
Ppp1r15b,84919,downregulated,PPP1R15B,1:1
Katnip,23247,downregulated,KATNIP,1:1
Zfp869,7644,downregulated,ZNF91,1:1
Hlcs,3141,downregulated,HLCS,1:1
Nup188,23511,downregulated,NUP188,1:1
Rhbdd2,57414,downregulated,RHBDD2,1:1
Dnajb9,4189,downregulated,DNAJB9,1:1
Nr1d2,9975,downregulated,NR1D2,1:1
Tra2a,29896,downregulated,TRA2A,1:1
Taf7,6879,downregulated,TAF7,1:1
Lrrn4cl,221091,downregulated,LRRN4CL,1:1
Pnrc1,10957,downregulated,PNRC1,1:1
Stk35,140901,downregulated,STK35,1:1
Pik3ip1,113791,downregulated,PIK3IP1,1:1
Gfpt2,9945,downregulated,GFPT2,1:1
Sertad1,29950,downregulated,SERTAD1,1:1
Epha2,1969,downregulated,EPHA2,1:1
Klf2,10365,downregulated,KLF2,1:1
Tspan4,7106,downregulated,TSPAN4,1:1
Ppfibp1,8496,downregulated,PPFIBP1,1:1
Crim1,51232,downregulated,CRIM1,1:1
Fzd7,8324,downregulated,FZD7,1:1
Kcnj2,3759,downregulated,KCNJ2,1:1
Slc19a2,10560,downregulated,SLC19A2,1:1
Gja5,2702,downregulated,GJA5,1:1
Retreg1,54463,downregulated,RETREG1,1:1
Arid5a,10865,downregulated,ARID5A,1:1
Ier3,8870,downregulated,IER3,1:1
Zfr2,23217,downregulated,ZFR2,1:1
Osgin1,29948,downregulated,OSGIN1,1:1
Nqo1,1728,downregulated,NQO1,1:1
Ppp1r15a,23645,downregulated,PPP1R15A,1:1
Bcl6b,255877,downregulated,BCL6B,1:1
Per3,8863,downregulated,PER3,1:1
Lrrc32,2615,downregulated,LRRC32,1:1
Klf4,9314,downregulated,KLF4,1:1
Adamts1,9510,downregulated,ADAMTS1,1:1
Gabarapl1,23710,downregulated,GABARAPL1,1:1
Id1,3397,downregulated,ID1,1:1
Plaur,5329,downregulated,PLAUR,1:1
Plk3,1263,downregulated,PLK3,1:1
Per2,8864,downregulated,PER2,1:1
Serpine1,5054,downregulated,SERPINE1,1:1
Arc,23237,downregulated,ARC,1:1
Apold1,81575,downregulated,APOLD1,1:1
Dbp,1628,downregulated,DBP,1:1
Ciart,148523,downregulated,CIART,1:1
